Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"34.10000","66.89354","0.11342"
"34.20000","67.09137","0.11376"
"34.30000","67.29443","0.11408"
"34.40000","67.49625","0.11441"
"34.50000","67.70401","0.11473"
"34.60000","67.92361","0.11508"
"34.70000","68.14505","0.11541"
"34.80000","68.35623","0.11576"
"34.90000","68.56791","0.11610"
"35.00000","68.80341","0.11643"
"35.10000","69.00673","0.11678"
"35.20000","69.21770","0.11711"
"35.30000","69.43549","0.11745"
"35.40000","69.64824","0.11780"
"35.50000","69.86801","0.11813"
"35.60000","70.08458","0.11848"
"35.70000","70.28155","0.11881"
"35.80000","70.48872","0.11913"
"35.90000","70.70230","0.11947"
"36.00000","70.91106","0.11980"
"36.10000","71.12074","0.12013"
"36.20000","71.33467","0.12046"
"36.30000","71.52632","0.12077"
"36.40000","71.70534","0.12108"
"36.50000","71.90176","0.12138"
"36.60000","72.10446","0.12169"
"36.70000","72.32555","0.12203"
"36.80000","72.54056","0.12237"
"36.90000","72.76068","0.12271"
"37.00000","72.99496","0.12306"
"37.10000","73.20589","0.12340"
"37.20000","73.41256","0.12373"
"37.30000","73.62498","0.12407"
"37.40000","73.82998","0.12440"
"37.50000","74.05048","0.12475"
"37.60000","74.28531","0.12510"
"37.70000","74.49917","0.12544"
"37.80000","74.72260","0.12578"
"37.90000","74.92732","0.12613"
"38.00000","75.14990","0.12648"
"38.10000","75.36523","0.12681"
"38.20000","75.57997","0.12715"
"38.30000","75.77477","0.12748"
"38.40000","75.98349","0.12780"
"38.50000","76.20106","0.12813"
"38.60000","76.40063","0.12845"
"38.70000","76.57653","0.12876"
"38.80000","76.79168","0.12907"
"38.90000","76.99296","0.12938"
"39.00000","77.19201","0.12970"
"39.10000","77.41640","0.13004"
"39.20000","77.62968","0.13037"
"39.30000","77.86803","0.13071"
"39.40000","78.07429","0.13103"
"39.50000","78.30508","0.13138"
"39.60000","78.50670","0.13170"
"39.70000","78.72591","0.13204"
"39.80000","78.92977","0.13236"
"39.90000","79.15810","0.13271"
"40.00000","79.37900","0.13304"
"40.10000","79.58482","0.13337"
"40.20000","79.79390","0.13371"
"40.30000","79.99808","0.13404"
"40.40000","80.23088","0.13438"
"40.50000","80.44484","0.13471"
"40.60000","80.64642","0.13504"
"40.70000","80.86136","0.13538"
"40.80000","81.06532","0.13571"
"40.90000","81.30172","0.13605"
"41.00000","81.49831","0.13638"
"41.10000","81.71081","0.13671"
"41.20000","81.92641","0.13704"
"41.30000","82.13466","0.13737"
"41.40000","82.35261","0.13771"
"41.50000","82.55643","0.13804"
"41.60000","82.77284","0.13836"
"41.70000","82.96291","0.13870"
"41.80000","83.20596","0.13905"
"41.90000","83.41258","0.13937"
"42.00000","83.62273","0.13970"
"42.10000","83.83519","0.14004"
"42.20000","84.05627","0.14039"
"42.30000","84.26205","0.14072"
"42.40000","84.47215","0.14106"
"42.50000","84.69271","0.14140"
"42.60000","84.88899","0.14173"
"42.70000","85.09849","0.14206"
"42.80000","85.32102","0.14239"
"42.90000","85.52686","0.14271"
"43.00000","85.72706","0.14304"
"43.10000","85.92776","0.14337"
"43.20000","86.17052","0.14370"
"43.30000","86.36766","0.14404"
"43.40000","86.56399","0.14437"
"43.50000","86.77055","0.14470"
"43.60000","87.01777","0.14504"
"43.70000","87.21074","0.14537"
"43.80000","87.40865","0.14569"
"43.90000","87.62856","0.14603"
"44.00000","87.83076","0.14637"
"44.10000","88.06741","0.14671"
"44.20000","88.26208","0.14704"
"44.30000","88.48578","0.14737"
"44.40000","88.69362","0.14771"
"44.50000","88.90790","0.14804"
"44.60000","89.11307","0.14837"
